,Date,DAY,MFI Daily Distribution,"Marketing, Bounty, Treasury",Team Token,Total Circulation
0,2021-03-04,1,4000.0,0,0,5004000.0
1,2021-03-05,2,3996.0,0,0,5007996.0
2,2021-03-06,3,3992.0040000000004,0,0,5011988.004
3,2021-03-07,4,3988.011996,0,0,5015976.015996
4,2021-03-08,5,3984.0239840000004,0,0,5019960.03998
5,2021-03-09,6,3980.03996,0,0,5023940.07994
6,2021-03-10,7,3976.05992,0,0,5027916.1398599995
7,2021-03-11,8,3972.08386,0,0,5031888.223719999
8,2021-03-12,9,3968.1117759999997,0,0,5035856.335495999
9,2021-03-13,10,3964.143665,0,0,5039820.479160999
10,2021-03-14,11,3960.179521,0,0,5043780.658681999
11,2021-03-15,12,3956.2193409999995,0,0,5047736.878022999
12,2021-03-16,13,3952.263122,0,0,5051689.141144998
13,2021-03-17,14,3948.310859,0,0,5055637.452003999
14,2021-03-18,15,3944.3625479999996,0,0,5059581.814551999
15,2021-03-19,16,3940.418185,0,0,5063522.232736999
16,2021-03-20,17,3936.4777670000003,0,0,5067458.710503999
17,2021-03-21,18,3932.5412890000002,0,0,5071391.251792999
18,2021-03-22,19,3928.6087479999997,0,0,5075319.860540999
19,2021-03-23,20,3924.680139,0,0,5079244.540679999
20,2021-03-24,21,3920.7554590000004,0,0,5083165.296138999
21,2021-03-25,22,3916.834704,0,0,5087082.130842999
22,2021-03-26,23,3912.917869,0,0,5090995.048711998
23,2021-03-27,24,3909.004951,0,0,5094904.053662999
24,2021-03-28,25,3905.095946,0,0,5098809.149608999
25,2021-03-29,26,3901.19085,0,0,5102710.340458998
26,2021-03-30,27,3897.2896600000004,0,0,5106607.630118999
27,2021-03-31,28,3893.3923700000005,0,0,5110501.022488998
28,2021-04-01,29,3889.498978,0,0,5114390.521466998
29,2021-04-02,30,3885.6094789999997,0,0,5118276.130945998
30,2021-04-03,31,3881.723869,0,0,5122157.854814998
31,2021-04-04,32,3877.842145,200000,0,5326035.6969599975
32,2021-04-05,33,3873.964303,0,0,5329909.661262997
33,2021-04-06,34,3870.090339,0,0,5333779.751601998
34,2021-04-07,35,3866.2202479999996,0,0,5337645.9718499975
35,2021-04-08,36,3862.354028,0,0,5341508.325877997
36,2021-04-09,37,3858.4916740000003,0,0,5345366.8175519975
37,2021-04-10,38,3854.633182,0,0,5349221.450733998
38,2021-04-11,39,3850.778549,0,0,5353072.229282998
39,2021-04-12,40,3846.927771,0,0,5356919.157053998
40,2021-04-13,41,3843.080843,0,0,5360762.2378969975
41,2021-04-14,42,3839.2377619999997,0,0,5364601.475658998
42,2021-04-15,43,3835.398524,0,0,5368436.874182998
43,2021-04-16,44,3831.563126,0,0,5372268.437308998
44,2021-04-17,45,3827.7315630000003,0,0,5376096.168871998
45,2021-04-18,46,3823.903831,0,0,5379920.072702998
46,2021-04-19,47,3820.079927,0,0,5383740.1526299985
47,2021-04-20,48,3816.259847,0,0,5387556.412476999
48,2021-04-21,49,3812.443588,0,0,5391368.856064999
49,2021-04-22,50,3808.631144,0,0,5395177.487208999
50,2021-04-23,51,3804.822513,0,0,5398982.309721999
51,2021-04-24,52,3801.0176899999997,0,0,5402783.327411999
52,2021-04-25,53,3797.2166729999994,0,0,5406580.544084999
53,2021-04-26,54,3793.419456,0,0,5410373.963540999
54,2021-04-27,55,3789.626036,0,0,5414163.589577
