Date,DAY,MFI Daily Distribution,"Marketing, Bounty, Treasury",Team Token,Total Circulation
2021-03-04,1,4000,0,0,5004000
2021-03-05,2,3996,0,0,
2021-03-06,3,3992.004,0,0,
2021-03-07,4,3988.011996,0,0,
2021-03-08,5,3984.023984,0,0,
2021-03-09,6,3980.03996,0,0,
2021-03-10,7,3976.05992,0,0,
2021-03-11,8,3972.08386,0,0,
2021-03-12,9,3968.111776,0,0,
2021-03-13,10,3964.143665,0,0,
2021-03-14,11,3960.179521,0,0,
2021-03-15,12,3956.219341,0,0,
2021-03-16,13,3952.263122,0,0,
2021-03-17,14,3948.310859,0,0,
2021-03-18,15,3944.362548,0,0,
2021-03-19,16,3940.418185,0,0,
2021-03-20,17,3936.477767,0,0,
2021-03-21,18,3932.541289,0,0,
2021-03-22,19,3928.608748,0,0,
2021-03-23,20,3924.680139,0,0,
2021-03-24,21,3920.755459,0,0,
2021-03-25,22,3916.834704,0,0,
2021-03-26,23,3912.917869,0,0,
2021-03-27,24,3909.004951,0,0,
2021-03-28,25,3905.095946,0,0,
2021-03-29,26,3901.19085,0,0,
2021-03-30,27,3897.28966,0,0,
2021-03-31,28,3893.39237,0,0,
2021-04-01,29,3889.498978,0,0,
2021-04-02,30,3885.609479,0,0,
2021-04-03,31,3881.723869,0,0,
2021-04-04,32,3877.842145,200000,0,
2021-04-05,33,3873.964303,0,0,
2021-04-06,34,3870.090339,0,0,
2021-04-07,35,3866.220248,0,0,
2021-04-08,36,3862.354028,0,0,
2021-04-09,37,3858.491674,0,0,
2021-04-10,38,3854.633182,0,0,
2021-04-11,39,3850.778549,0,0,
2021-04-12,40,3846.927771,0,0,
2021-04-13,41,3843.080843,0,0,
2021-04-14,42,3839.237762,0,0,
2021-04-15,43,3835.398524,0,0,
2021-04-16,44,3831.563126,0,0,
2021-04-17,45,3827.731563,0,0,
2021-04-18,46,3823.903831,0,0,
2021-04-19,47,3820.079927,0,0,
2021-04-20,48,3816.259847,0,0,
2021-04-21,49,3812.443588,0,0,
2021-04-22,50,3808.631144,0,0,
2021-04-23,51,3804.822513,0,0,
2021-04-24,52,3801.01769,0,0,
2021-04-25,53,3797.216673,0,0,
2021-04-26,54,3793.419456,0,0,
2021-04-27,55,3789.626036,0,0,
2021-04-28,56,3785.83641,0,0,
2021-04-29,57,3782.050574,0,0,
2021-04-30,58,3778.268523,0,0,
2021-05-01,59,3774.490255,0,0,
2021-05-02,60,3770.715765,0,0,
2021-05-03,61,3766.945049,0,0,
2021-05-04,62,3763.178104,0,187500,
2021-05-05,63,3759.414926,0,0,
2021-05-06,64,3755.655511,0,0,
2021-05-07,65,3751.899855,0,0,
2021-05-08,66,3748.147955,0,0,
2021-05-09,67,3744.399807,0,0,
2021-05-10,68,3740.655408,0,0,
2021-05-11,69,3736.914752,0,0,
2021-05-12,70,3733.177838,0,0,
2021-05-13,71,3729.44466,0,0,
2021-05-14,72,3725.715215,0,0,
2021-05-15,73,3721.9895,0,0,
2021-05-16,74,3718.26751,0,0,
2021-05-17,75,3714.549243,0,0,
2021-05-18,76,3710.834694,0,0,
2021-05-19,77,3707.123859,0,0,
2021-05-20,78,3703.416735,0,0,
2021-05-21,79,3699.713318,0,0,
2021-05-22,80,3696.013605,0,0,
2021-05-23,81,3692.317591,0,0,
2021-05-24,82,3688.625274,0,0,
2021-05-25,83,3684.936648,0,0,
2021-05-26,84,3681.251712,0,0,
2021-05-27,85,3677.57046,0,0,
2021-05-28,86,3673.89289,0,0,
2021-05-29,87,3670.218997,0,0,
2021-05-30,88,3666.548778,0,0,
2021-05-31,89,3662.882229,0,0,
2021-06-01,90,3659.219347,0,0,
2021-06-02,91,3655.560127,0,0,
2021-06-03,92,3651.904567,100000,0,
2021-06-04,93,3648.252663,0,0,
2021-06-05,94,3644.60441,0,0,
2021-06-06,95,3640.959806,0,0,
2021-06-07,96,3637.318846,0,0,
2021-06-08,97,3633.681527,0,0,
2021-06-09,98,3630.047845,0,0,
2021-06-10,99,3626.417798,0,0,
2021-06-11,100,3622.79138,0,0,
2021-06-12,101,3619.168588,0,0,
2021-06-13,102,3615.54942,0,0,
2021-06-14,103,3611.93387,0,0,
2021-06-15,104,3608.321937,0,0,
2021-06-16,105,3604.713615,0,0,
2021-06-17,106,3601.108901,0,0,
2021-06-18,107,3597.507792,0,0,
2021-06-19,108,3593.910284,0,0,
2021-06-20,109,3590.316374,0,0,
2021-06-21,110,3586.726058,0,0,
2021-06-22,111,3583.139332,0,0,
2021-06-23,112,3579.556192,0,0,
2021-06-24,113,3575.976636,0,0,
